2022 Apr 23 16:46:43 | SpawnPoolWorker-9 | 2869ce | Time: 0 | Total Job: 747 | End job: 0 | Running job: 0 | Pending job: 0
2022 Apr 23 16:46:47 | SpawnPoolWorker-9 | 2869ce | Time: 1980000 | Total Job: 747 | End job: 328 | Running job: 12 | Pending job: 0
2022 Apr 23 16:46:47 | SpawnPoolWorker-9 | 2869ce | Time: 2010000 | Total Job: 747 | End job: 328 | Running job: 12 | Pending job: 0
2022 Apr 23 16:46:47 | SpawnPoolWorker-9 | 2869ce | Time: 2040000 | Total Job: 747 | End job: 329 | Running job: 12 | Pending job: 0
2022 Apr 23 16:46:47 | SpawnPoolWorker-9 | 2869ce | Time: 2070000 | Total Job: 747 | End job: 329 | Running job: 12 | Pending job: 0
2022 Apr 23 16:46:47 | SpawnPoolWorker-9 | 2869ce | Time: 2100000 | Total Job: 747 | End job: 330 | Running job: 11 | Pending job: 0
2022 Apr 23 16:46:47 | SpawnPoolWorker-9 | 2869ce | Time: 2130000 | Total Job: 747 | End job: 339 | Running job: 7 | Pending job: 0
2022 Apr 23 16:46:47 | SpawnPoolWorker-9 | 2869ce | Time: 2160000 | Total Job: 747 | End job: 342 | Running job: 5 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2190000 | Total Job: 747 | End job: 347 | Running job: 5 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2220000 | Total Job: 747 | End job: 347 | Running job: 9 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2250000 | Total Job: 747 | End job: 350 | Running job: 7 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2280000 | Total Job: 747 | End job: 351 | Running job: 6 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2310000 | Total Job: 747 | End job: 353 | Running job: 6 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2340000 | Total Job: 747 | End job: 363 | Running job: 6 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2370000 | Total Job: 747 | End job: 366 | Running job: 6 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2400000 | Total Job: 747 | End job: 373 | Running job: 3 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2430000 | Total Job: 747 | End job: 376 | Running job: 2 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2460000 | Total Job: 747 | End job: 378 | Running job: 1 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2490000 | Total Job: 747 | End job: 379 | Running job: 1 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2520000 | Total Job: 747 | End job: 379 | Running job: 1 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2550000 | Total Job: 747 | End job: 379 | Running job: 1 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2580000 | Total Job: 747 | End job: 392 | Running job: 5 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2610000 | Total Job: 747 | End job: 394 | Running job: 6 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2640000 | Total Job: 747 | End job: 395 | Running job: 7 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2670000 | Total Job: 747 | End job: 398 | Running job: 8 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2700000 | Total Job: 747 | End job: 403 | Running job: 4 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2730000 | Total Job: 747 | End job: 406 | Running job: 4 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2760000 | Total Job: 747 | End job: 407 | Running job: 7 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2790000 | Total Job: 747 | End job: 409 | Running job: 5 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2820000 | Total Job: 747 | End job: 411 | Running job: 4 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2850000 | Total Job: 747 | End job: 415 | Running job: 4 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2880000 | Total Job: 747 | End job: 415 | Running job: 5 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2910000 | Total Job: 747 | End job: 421 | Running job: 7 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2940000 | Total Job: 747 | End job: 423 | Running job: 5 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 2970000 | Total Job: 747 | End job: 424 | Running job: 5 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3000000 | Total Job: 747 | End job: 426 | Running job: 6 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3030000 | Total Job: 747 | End job: 430 | Running job: 5 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3060000 | Total Job: 747 | End job: 431 | Running job: 11 | Pending job: 1
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3090000 | Total Job: 747 | End job: 435 | Running job: 8 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3120000 | Total Job: 747 | End job: 436 | Running job: 7 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3150000 | Total Job: 747 | End job: 437 | Running job: 7 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3180000 | Total Job: 747 | End job: 441 | Running job: 12 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3210000 | Total Job: 747 | End job: 462 | Running job: 8 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3240000 | Total Job: 747 | End job: 470 | Running job: 16 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3270000 | Total Job: 747 | End job: 485 | Running job: 9 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3300000 | Total Job: 747 | End job: 489 | Running job: 10 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3330000 | Total Job: 747 | End job: 496 | Running job: 4 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3360000 | Total Job: 747 | End job: 506 | Running job: 14 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3390000 | Total Job: 747 | End job: 508 | Running job: 12 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3420000 | Total Job: 747 | End job: 508 | Running job: 12 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3450000 | Total Job: 747 | End job: 514 | Running job: 12 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3480000 | Total Job: 747 | End job: 532 | Running job: 13 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3510000 | Total Job: 747 | End job: 540 | Running job: 10 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3540000 | Total Job: 747 | End job: 544 | Running job: 9 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3570000 | Total Job: 747 | End job: 550 | Running job: 3 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3600000 | Total Job: 747 | End job: 554 | Running job: 5 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3630000 | Total Job: 747 | End job: 562 | Running job: 3 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3660000 | Total Job: 747 | End job: 565 | Running job: 0 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3690000 | Total Job: 747 | End job: 569 | Running job: 2 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3720000 | Total Job: 747 | End job: 578 | Running job: 0 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3750000 | Total Job: 747 | End job: 578 | Running job: 0 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3780000 | Total Job: 747 | End job: 580 | Running job: 1 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3810000 | Total Job: 747 | End job: 582 | Running job: 0 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3840000 | Total Job: 747 | End job: 583 | Running job: 0 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3870000 | Total Job: 747 | End job: 583 | Running job: 1 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3900000 | Total Job: 747 | End job: 594 | Running job: 1 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3930000 | Total Job: 747 | End job: 595 | Running job: 3 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3960000 | Total Job: 747 | End job: 615 | Running job: 10 | Pending job: 1
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 3990000 | Total Job: 747 | End job: 617 | Running job: 10 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 4020000 | Total Job: 747 | End job: 632 | Running job: 4 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 4050000 | Total Job: 747 | End job: 637 | Running job: 4 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 4080000 | Total Job: 747 | End job: 642 | Running job: 5 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 4110000 | Total Job: 747 | End job: 648 | Running job: 4 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 4140000 | Total Job: 747 | End job: 659 | Running job: 10 | Pending job: 1
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 4170000 | Total Job: 747 | End job: 659 | Running job: 10 | Pending job: 1
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 4200000 | Total Job: 747 | End job: 662 | Running job: 8 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 4230000 | Total Job: 747 | End job: 662 | Running job: 8 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 4260000 | Total Job: 747 | End job: 662 | Running job: 8 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 4290000 | Total Job: 747 | End job: 662 | Running job: 8 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 4320000 | Total Job: 747 | End job: 668 | Running job: 2 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 4350000 | Total Job: 747 | End job: 669 | Running job: 1 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 4380000 | Total Job: 747 | End job: 674 | Running job: 1 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 4410000 | Total Job: 747 | End job: 681 | Running job: 1 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 4440000 | Total Job: 747 | End job: 681 | Running job: 9 | Pending job: 0
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 4470000 | Total Job: 747 | End job: 686 | Running job: 12 | Pending job: 6
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 4500000 | Total Job: 747 | End job: 686 | Running job: 12 | Pending job: 6
2022 Apr 23 16:46:48 | SpawnPoolWorker-9 | 2869ce | Time: 4530000 | Total Job: 747 | End job: 688 | Running job: 13 | Pending job: 3
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Time: 4560000 | Total Job: 747 | End job: 688 | Running job: 13 | Pending job: 10
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Time: 4590000 | Total Job: 747 | End job: 695 | Running job: 16 | Pending job: 0
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Time: 4620000 | Total Job: 747 | End job: 699 | Running job: 15 | Pending job: 0
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Time: 4650000 | Total Job: 747 | End job: 711 | Running job: 9 | Pending job: 0
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Time: 4680000 | Total Job: 747 | End job: 715 | Running job: 5 | Pending job: 0
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Time: 4710000 | Total Job: 747 | End job: 716 | Running job: 4 | Pending job: 0
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Time: 4740000 | Total Job: 747 | End job: 717 | Running job: 3 | Pending job: 0
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Time: 4770000 | Total Job: 747 | End job: 717 | Running job: 3 | Pending job: 0
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Time: 4800000 | Total Job: 747 | End job: 720 | Running job: 0 | Pending job: 0
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Time: 4830000 | Total Job: 747 | End job: 720 | Running job: 0 | Pending job: 0
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Time: 4860000 | Total Job: 747 | End job: 720 | Running job: 0 | Pending job: 0
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Time: 4890000 | Total Job: 747 | End job: 720 | Running job: 0 | Pending job: 0
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Time: 4920000 | Total Job: 747 | End job: 720 | Running job: 0 | Pending job: 0
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Time: 4950000 | Total Job: 747 | End job: 720 | Running job: 0 | Pending job: 0
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Time: 4980000 | Total Job: 747 | End job: 723 | Running job: 8 | Pending job: 0
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Time: 5010000 | Total Job: 747 | End job: 725 | Running job: 6 | Pending job: 0
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Time: 5040000 | Total Job: 747 | End job: 725 | Running job: 6 | Pending job: 0
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Time: 5070000 | Total Job: 747 | End job: 727 | Running job: 7 | Pending job: 0
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Time: 5100000 | Total Job: 747 | End job: 728 | Running job: 6 | Pending job: 0
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Time: 5130000 | Total Job: 747 | End job: 734 | Running job: 6 | Pending job: 0
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Time: 5160000 | Total Job: 747 | End job: 736 | Running job: 4 | Pending job: 0
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Time: 5190000 | Total Job: 747 | End job: 741 | Running job: 0 | Pending job: 0
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | 2869ce | Average JCT: 57605.46 | Average Queue: 8561.11
2022 Apr 23 16:46:49 | SpawnPoolWorker-9 | Finish 2869ce
