2022 Apr 23 16:42:58 | SpawnPoolWorker-7 | 103959 | Time: 0 | Total Job: 2188 | End job: 0 | Running job: 0 | Pending job: 0
2022 Apr 23 16:43:09 | SpawnPoolWorker-7 | 103959 | Time: 3060000 | Total Job: 2188 | End job: 960 | Running job: 14 | Pending job: 0
2022 Apr 23 16:43:09 | SpawnPoolWorker-7 | 103959 | Time: 3150000 | Total Job: 2188 | End job: 974 | Running job: 15 | Pending job: 0
2022 Apr 23 16:43:09 | SpawnPoolWorker-7 | 103959 | Time: 3240000 | Total Job: 2188 | End job: 1014 | Running job: 16 | Pending job: 0
2022 Apr 23 16:43:09 | SpawnPoolWorker-7 | 103959 | Time: 3330000 | Total Job: 2188 | End job: 1050 | Running job: 19 | Pending job: 0
2022 Apr 23 16:43:09 | SpawnPoolWorker-7 | 103959 | Time: 3420000 | Total Job: 2188 | End job: 1106 | Running job: 12 | Pending job: 0
2022 Apr 23 16:43:10 | SpawnPoolWorker-7 | 103959 | Time: 3510000 | Total Job: 2188 | End job: 1155 | Running job: 8 | Pending job: 0
2022 Apr 23 16:43:10 | SpawnPoolWorker-7 | 103959 | Time: 3600000 | Total Job: 2188 | End job: 1250 | Running job: 16 | Pending job: 0
2022 Apr 23 16:43:10 | SpawnPoolWorker-7 | 103959 | Time: 3690000 | Total Job: 2188 | End job: 1334 | Running job: 16 | Pending job: 2
2022 Apr 23 16:43:10 | SpawnPoolWorker-7 | 103959 | Time: 3780000 | Total Job: 2188 | End job: 1405 | Running job: 13 | Pending job: 0
2022 Apr 23 16:43:11 | SpawnPoolWorker-7 | 103959 | Time: 3870000 | Total Job: 2188 | End job: 1496 | Running job: 5 | Pending job: 0
2022 Apr 23 16:43:11 | SpawnPoolWorker-7 | 103959 | Time: 3960000 | Total Job: 2188 | End job: 1581 | Running job: 17 | Pending job: 0
2022 Apr 23 16:43:11 | SpawnPoolWorker-7 | 103959 | Time: 4050000 | Total Job: 2188 | End job: 1650 | Running job: 14 | Pending job: 0
2022 Apr 23 16:43:11 | SpawnPoolWorker-7 | 103959 | Time: 4140000 | Total Job: 2188 | End job: 1745 | Running job: 11 | Pending job: 0
2022 Apr 23 16:43:11 | SpawnPoolWorker-7 | 103959 | Time: 4230000 | Total Job: 2188 | End job: 1808 | Running job: 10 | Pending job: 0
2022 Apr 23 16:43:11 | SpawnPoolWorker-7 | 103959 | Time: 4320000 | Total Job: 2188 | End job: 1838 | Running job: 7 | Pending job: 0
2022 Apr 23 16:43:11 | SpawnPoolWorker-7 | 103959 | Time: 4410000 | Total Job: 2188 | End job: 1907 | Running job: 6 | Pending job: 0
2022 Apr 23 16:43:11 | SpawnPoolWorker-7 | 103959 | Time: 4500000 | Total Job: 2188 | End job: 1922 | Running job: 6 | Pending job: 0
2022 Apr 23 16:43:11 | SpawnPoolWorker-7 | 103959 | Time: 4590000 | Total Job: 2188 | End job: 1956 | Running job: 13 | Pending job: 0
2022 Apr 23 16:43:11 | SpawnPoolWorker-7 | 103959 | Time: 4680000 | Total Job: 2188 | End job: 1990 | Running job: 16 | Pending job: 0
2022 Apr 23 16:43:11 | SpawnPoolWorker-7 | 103959 | Time: 4770000 | Total Job: 2188 | End job: 2025 | Running job: 16 | Pending job: 0
2022 Apr 23 16:43:11 | SpawnPoolWorker-7 | 103959 | Time: 4860000 | Total Job: 2188 | End job: 2054 | Running job: 6 | Pending job: 0
2022 Apr 23 16:43:11 | SpawnPoolWorker-7 | 103959 | Time: 4950000 | Total Job: 2188 | End job: 2072 | Running job: 1 | Pending job: 0
2022 Apr 23 16:43:11 | SpawnPoolWorker-7 | 103959 | Time: 5040000 | Total Job: 2188 | End job: 2095 | Running job: 4 | Pending job: 0
2022 Apr 23 16:43:11 | SpawnPoolWorker-7 | 103959 | Time: 5130000 | Total Job: 2188 | End job: 2115 | Running job: 4 | Pending job: 0
2022 Apr 23 16:43:11 | SpawnPoolWorker-7 | 103959 | Time: 5220000 | Total Job: 2188 | End job: 2137 | Running job: 8 | Pending job: 0
2022 Apr 23 16:43:11 | SpawnPoolWorker-7 | 103959 | Time: 5310000 | Total Job: 2188 | End job: 2182 | Running job: 6 | Pending job: 0
2022 Apr 23 16:43:11 | SpawnPoolWorker-7 | 103959 | Time: 5400000 | Total Job: 2188 | End job: 2184 | Running job: 4 | Pending job: 0
2022 Apr 23 16:43:11 | SpawnPoolWorker-7 | 103959 | Average JCT: 23176.87 | Average Queue: 824.93
2022 Apr 23 16:43:12 | SpawnPoolWorker-7 | Finish 103959
