2022 Apr 23 16:42:55 | SpawnPoolWorker-3 | 11cb48 | Time: 0 | Total Job: 14073 | End job: 0 | Running job: 0 | Pending job: 0
2022 Apr 23 16:43:49 | SpawnPoolWorker-3 | 11cb48 | Time: 1440000 | Total Job: 14073 | End job: 3846 | Running job: 11 | Pending job: 67
2022 Apr 23 16:43:52 | SpawnPoolWorker-3 | 11cb48 | Time: 1530000 | Total Job: 14073 | End job: 4082 | Running job: 6 | Pending job: 71
2022 Apr 23 16:43:54 | SpawnPoolWorker-3 | 11cb48 | Time: 1620000 | Total Job: 14073 | End job: 4320 | Running job: 6 | Pending job: 84
2022 Apr 23 16:43:56 | SpawnPoolWorker-3 | 11cb48 | Time: 1710000 | Total Job: 14073 | End job: 4575 | Running job: 10 | Pending job: 87
2022 Apr 23 16:43:58 | SpawnPoolWorker-3 | 11cb48 | Time: 1800000 | Total Job: 14073 | End job: 4806 | Running job: 4 | Pending job: 88
2022 Apr 23 16:44:00 | SpawnPoolWorker-3 | 11cb48 | Time: 1890000 | Total Job: 14073 | End job: 4996 | Running job: 4 | Pending job: 95
2022 Apr 23 16:44:02 | SpawnPoolWorker-3 | 11cb48 | Time: 1980000 | Total Job: 14073 | End job: 5195 | Running job: 8 | Pending job: 105
2022 Apr 23 16:44:04 | SpawnPoolWorker-3 | 11cb48 | Time: 2070000 | Total Job: 14073 | End job: 5365 | Running job: 8 | Pending job: 112
2022 Apr 23 16:44:07 | SpawnPoolWorker-3 | 11cb48 | Time: 2160000 | Total Job: 14073 | End job: 5652 | Running job: 21 | Pending job: 118
2022 Apr 23 16:44:09 | SpawnPoolWorker-3 | 11cb48 | Time: 2250000 | Total Job: 14073 | End job: 5863 | Running job: 9 | Pending job: 125
2022 Apr 23 16:44:11 | SpawnPoolWorker-3 | 11cb48 | Time: 2340000 | Total Job: 14073 | End job: 6073 | Running job: 6 | Pending job: 130
2022 Apr 23 16:44:13 | SpawnPoolWorker-3 | 11cb48 | Time: 2430000 | Total Job: 14073 | End job: 6262 | Running job: 2 | Pending job: 131
2022 Apr 23 16:44:14 | SpawnPoolWorker-3 | 11cb48 | Time: 2520000 | Total Job: 14073 | End job: 6471 | Running job: 46 | Pending job: 55
2022 Apr 23 16:44:16 | SpawnPoolWorker-3 | 11cb48 | Time: 2610000 | Total Job: 14073 | End job: 6713 | Running job: 52 | Pending job: 15
2022 Apr 23 16:44:18 | SpawnPoolWorker-3 | 11cb48 | Time: 2700000 | Total Job: 14073 | End job: 6948 | Running job: 36 | Pending job: 8
2022 Apr 23 16:44:20 | SpawnPoolWorker-3 | 11cb48 | Time: 2790000 | Total Job: 14073 | End job: 7175 | Running job: 32 | Pending job: 3
2022 Apr 23 16:44:22 | SpawnPoolWorker-3 | 11cb48 | Time: 2880000 | Total Job: 14073 | End job: 7444 | Running job: 20 | Pending job: 3
2022 Apr 23 16:44:23 | SpawnPoolWorker-3 | 11cb48 | Time: 2970000 | Total Job: 14073 | End job: 7674 | Running job: 23 | Pending job: 0
2022 Apr 23 16:44:24 | SpawnPoolWorker-3 | 11cb48 | Time: 3060000 | Total Job: 14073 | End job: 7898 | Running job: 25 | Pending job: 0
2022 Apr 23 16:44:25 | SpawnPoolWorker-3 | 11cb48 | Time: 3150000 | Total Job: 14073 | End job: 8103 | Running job: 17 | Pending job: 0
2022 Apr 23 16:44:25 | SpawnPoolWorker-3 | 11cb48 | Time: 3240000 | Total Job: 14073 | End job: 8340 | Running job: 27 | Pending job: 0
2022 Apr 23 16:44:26 | SpawnPoolWorker-3 | 11cb48 | Time: 3330000 | Total Job: 14073 | End job: 8585 | Running job: 32 | Pending job: 6
2022 Apr 23 16:44:28 | SpawnPoolWorker-3 | 11cb48 | Time: 3420000 | Total Job: 14073 | End job: 8807 | Running job: 17 | Pending job: 6
2022 Apr 23 16:44:29 | SpawnPoolWorker-3 | 11cb48 | Time: 3510000 | Total Job: 14073 | End job: 9034 | Running job: 26 | Pending job: 3
2022 Apr 23 16:44:31 | SpawnPoolWorker-3 | 11cb48 | Time: 3600000 | Total Job: 14073 | End job: 9285 | Running job: 22 | Pending job: 1
2022 Apr 23 16:44:33 | SpawnPoolWorker-3 | 11cb48 | Time: 3690000 | Total Job: 14073 | End job: 9517 | Running job: 20 | Pending job: 10
2022 Apr 23 16:44:34 | SpawnPoolWorker-3 | 11cb48 | Time: 3780000 | Total Job: 14073 | End job: 9755 | Running job: 20 | Pending job: 4
2022 Apr 23 16:44:36 | SpawnPoolWorker-3 | 11cb48 | Time: 3870000 | Total Job: 14073 | End job: 10175 | Running job: 24 | Pending job: 0
2022 Apr 23 16:44:37 | SpawnPoolWorker-3 | 11cb48 | Time: 3960000 | Total Job: 14073 | End job: 10435 | Running job: 30 | Pending job: 2
2022 Apr 23 16:44:39 | SpawnPoolWorker-3 | 11cb48 | Time: 4050000 | Total Job: 14073 | End job: 10828 | Running job: 31 | Pending job: 29
2022 Apr 23 16:44:41 | SpawnPoolWorker-3 | 11cb48 | Time: 4140000 | Total Job: 14073 | End job: 11092 | Running job: 21 | Pending job: 132
2022 Apr 23 16:44:43 | SpawnPoolWorker-3 | 11cb48 | Time: 4230000 | Total Job: 14073 | End job: 11408 | Running job: 23 | Pending job: 64
2022 Apr 23 16:44:44 | SpawnPoolWorker-3 | 11cb48 | Time: 4320000 | Total Job: 14073 | End job: 11613 | Running job: 31 | Pending job: 7
2022 Apr 23 16:44:45 | SpawnPoolWorker-3 | 11cb48 | Time: 4410000 | Total Job: 14073 | End job: 11829 | Running job: 29 | Pending job: 31
2022 Apr 23 16:44:47 | SpawnPoolWorker-3 | 11cb48 | Time: 4500000 | Total Job: 14073 | End job: 12068 | Running job: 32 | Pending job: 8
2022 Apr 23 16:44:48 | SpawnPoolWorker-3 | 11cb48 | Time: 4590000 | Total Job: 14073 | End job: 12300 | Running job: 25 | Pending job: 1
2022 Apr 23 16:44:49 | SpawnPoolWorker-3 | 11cb48 | Time: 4680000 | Total Job: 14073 | End job: 12541 | Running job: 21 | Pending job: 0
2022 Apr 23 16:44:49 | SpawnPoolWorker-3 | 11cb48 | Time: 4770000 | Total Job: 14073 | End job: 12746 | Running job: 17 | Pending job: 0
2022 Apr 23 16:44:49 | SpawnPoolWorker-3 | 11cb48 | Time: 4860000 | Total Job: 14073 | End job: 12933 | Running job: 15 | Pending job: 0
2022 Apr 23 16:44:49 | SpawnPoolWorker-3 | 11cb48 | Time: 4950000 | Total Job: 14073 | End job: 13131 | Running job: 19 | Pending job: 0
2022 Apr 23 16:44:49 | SpawnPoolWorker-3 | 11cb48 | Time: 5040000 | Total Job: 14073 | End job: 13402 | Running job: 27 | Pending job: 0
2022 Apr 23 16:44:49 | SpawnPoolWorker-3 | 11cb48 | Time: 5130000 | Total Job: 14073 | End job: 13645 | Running job: 34 | Pending job: 0
2022 Apr 23 16:44:50 | SpawnPoolWorker-3 | 11cb48 | Time: 5220000 | Total Job: 14073 | End job: 13911 | Running job: 33 | Pending job: 1
2022 Apr 23 16:44:51 | SpawnPoolWorker-3 | 11cb48 | Time: 5310000 | Total Job: 14073 | End job: 14051 | Running job: 21 | Pending job: 1
2022 Apr 23 16:44:51 | SpawnPoolWorker-3 | 11cb48 | Time: 5400000 | Total Job: 14073 | End job: 14056 | Running job: 17 | Pending job: 0
2022 Apr 23 16:44:51 | SpawnPoolWorker-3 | 11cb48 | Time: 5490000 | Total Job: 14073 | End job: 14058 | Running job: 15 | Pending job: 0
2022 Apr 23 16:44:51 | SpawnPoolWorker-3 | 11cb48 | Time: 5580000 | Total Job: 14073 | End job: 14059 | Running job: 14 | Pending job: 0
2022 Apr 23 16:44:51 | SpawnPoolWorker-3 | 11cb48 | Time: 5670000 | Total Job: 14073 | End job: 14059 | Running job: 14 | Pending job: 0
2022 Apr 23 16:44:51 | SpawnPoolWorker-3 | 11cb48 | Time: 5760000 | Total Job: 14073 | End job: 14059 | Running job: 14 | Pending job: 0
2022 Apr 23 16:44:51 | SpawnPoolWorker-3 | 11cb48 | Time: 5850000 | Total Job: 14073 | End job: 14059 | Running job: 14 | Pending job: 0
2022 Apr 23 16:44:51 | SpawnPoolWorker-3 | 11cb48 | Time: 5940000 | Total Job: 14073 | End job: 14060 | Running job: 13 | Pending job: 0
2022 Apr 23 16:44:51 | SpawnPoolWorker-3 | 11cb48 | Time: 6030000 | Total Job: 14073 | End job: 14060 | Running job: 13 | Pending job: 0
2022 Apr 23 16:44:51 | SpawnPoolWorker-3 | 11cb48 | Time: 6120000 | Total Job: 14073 | End job: 14060 | Running job: 13 | Pending job: 0
2022 Apr 23 16:44:51 | SpawnPoolWorker-3 | 11cb48 | Time: 6210000 | Total Job: 14073 | End job: 14060 | Running job: 13 | Pending job: 0
2022 Apr 23 16:44:51 | SpawnPoolWorker-3 | 11cb48 | Time: 6300000 | Total Job: 14073 | End job: 14060 | Running job: 13 | Pending job: 0
2022 Apr 23 16:44:51 | SpawnPoolWorker-3 | 11cb48 | Time: 6390000 | Total Job: 14073 | End job: 14060 | Running job: 13 | Pending job: 0
2022 Apr 23 16:44:51 | SpawnPoolWorker-3 | 11cb48 | Time: 6480000 | Total Job: 14073 | End job: 14061 | Running job: 12 | Pending job: 0
2022 Apr 23 16:44:51 | SpawnPoolWorker-3 | 11cb48 | Time: 6570000 | Total Job: 14073 | End job: 14067 | Running job: 6 | Pending job: 0
2022 Apr 23 16:44:51 | SpawnPoolWorker-3 | 11cb48 | Time: 6660000 | Total Job: 14073 | End job: 14067 | Running job: 6 | Pending job: 0
2022 Apr 23 16:44:51 | SpawnPoolWorker-3 | 11cb48 | Time: 6750000 | Total Job: 14073 | End job: 14071 | Running job: 2 | Pending job: 0
2022 Apr 23 16:44:51 | SpawnPoolWorker-3 | 11cb48 | Time: 6840000 | Total Job: 14073 | End job: 14071 | Running job: 2 | Pending job: 0
2022 Apr 23 16:44:51 | SpawnPoolWorker-3 | 11cb48 | Time: 6930000 | Total Job: 14073 | End job: 14072 | Running job: 1 | Pending job: 0
2022 Apr 23 16:44:51 | SpawnPoolWorker-3 | 11cb48 | Average JCT: 21258.37 | Average Queue: 12758.14
2022 Apr 23 16:44:51 | SpawnPoolWorker-3 | Finish 11cb48
