2022 Apr 23 16:42:56 | SpawnPoolWorker-9 | e13805 | Time: 0 | Total Job: 653 | End job: 0 | Running job: 0 | Pending job: 0
2022 Apr 23 16:43:00 | SpawnPoolWorker-9 | e13805 | Time: 4140000 | Total Job: 653 | End job: 494 | Running job: 12 | Pending job: 0
2022 Apr 23 16:43:00 | SpawnPoolWorker-9 | e13805 | Time: 4230000 | Total Job: 653 | End job: 505 | Running job: 12 | Pending job: 0
2022 Apr 23 16:43:00 | SpawnPoolWorker-9 | e13805 | Time: 4320000 | Total Job: 653 | End job: 513 | Running job: 4 | Pending job: 0
2022 Apr 23 16:43:00 | SpawnPoolWorker-9 | e13805 | Time: 4410000 | Total Job: 653 | End job: 527 | Running job: 6 | Pending job: 0
2022 Apr 23 16:43:00 | SpawnPoolWorker-9 | e13805 | Time: 4500000 | Total Job: 653 | End job: 544 | Running job: 16 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-9 | e13805 | Time: 4590000 | Total Job: 653 | End job: 562 | Running job: 14 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-9 | e13805 | Time: 4680000 | Total Job: 653 | End job: 567 | Running job: 13 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-9 | e13805 | Time: 4770000 | Total Job: 653 | End job: 578 | Running job: 17 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-9 | e13805 | Time: 4860000 | Total Job: 653 | End job: 586 | Running job: 12 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-9 | e13805 | Time: 4950000 | Total Job: 653 | End job: 594 | Running job: 13 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-9 | e13805 | Time: 5040000 | Total Job: 653 | End job: 612 | Running job: 14 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-9 | e13805 | Time: 5130000 | Total Job: 653 | End job: 628 | Running job: 16 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-9 | e13805 | Time: 5220000 | Total Job: 653 | End job: 640 | Running job: 12 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-9 | e13805 | Time: 5310000 | Total Job: 653 | End job: 647 | Running job: 6 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-9 | e13805 | Time: 5400000 | Total Job: 653 | End job: 647 | Running job: 6 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-9 | e13805 | Time: 5490000 | Total Job: 653 | End job: 647 | Running job: 6 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-9 | e13805 | Time: 5580000 | Total Job: 653 | End job: 648 | Running job: 5 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-9 | e13805 | Time: 5670000 | Total Job: 653 | End job: 650 | Running job: 3 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-9 | e13805 | Time: 5760000 | Total Job: 653 | End job: 650 | Running job: 3 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-9 | e13805 | Time: 5850000 | Total Job: 653 | End job: 652 | Running job: 1 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-9 | e13805 | Time: 5940000 | Total Job: 653 | End job: 652 | Running job: 1 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-9 | e13805 | Time: 6030000 | Total Job: 653 | End job: 652 | Running job: 1 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-9 | e13805 | Time: 6120000 | Total Job: 653 | End job: 652 | Running job: 1 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-9 | e13805 | Average JCT: 85981.12 | Average Queue: 1047.34
2022 Apr 23 16:43:01 | SpawnPoolWorker-9 | Finish e13805
